year,quarter,state,district,registeredusers,appopens
2021,Q4,West Bengal,Jalpaiguri,301033,8625183
2021,Q4,West Bengal,Purulia,502535,12106891
2021,Q4,West Bengal,North Twenty Four Parganas,3043008,77513355
2021,Q4,West Bengal,Bankura,743262,15470528
2021,Q4,West Bengal,Jhargram,143344,3651690
2021,Q4,West Bengal,Howrah,1150144,27801657
2021,Q4,West Bengal,Hooghly,1278850,30173908
2021,Q4,West Bengal,Kolkata,2213659,56212627
2021,Q4,West Bengal,Koch Bihar,430468,11678868
2021,Q4,West Bengal,Alipurduar,209348,5997603
2021,Q4,West Bengal,Paschim Bardhaman,902608,25084418
2021,Q4,West Bengal,Nadia,1096767,26521254
2021,Q4,West Bengal,Birbhum,689824,15475854
2021,Q4,West Bengal,Purba Medinipur,1087362,29634241
2021,Q4,West Bengal,Maldah,762717,23166785
2021,Q4,West Bengal,Darjiling,457833,11515790
2021,Q1,West Bengal,South Twenty Four Parganas,1202229,21591489
2021,Q1,West Bengal,Purba Bardhaman,736414,12509473
2021,Q1,West Bengal,Uttar Dinajpur,364508,6914186
2021,Q1,West Bengal,Kalimpong,34881,525429
2021,Q1,West Bengal,Murshidabad,1166975,18555993
2021,Q1,West Bengal,Paschim Medinipur,800530,15570980
2021,Q1,West Bengal,Dakshin Dinajpur,262176,3213720
2021,Q1,West Bengal,Jalpaiguri,241123,4313032
2021,Q1,West Bengal,Purulia,406012,6414833
2021,Q1,West Bengal,North Twenty Four Parganas,2491076,53434882
2021,Q1,West Bengal,Bankura,604485,9129830
2021,Q1,West Bengal,Jhargram,115812,2140829
2021,Q1,West Bengal,Howrah,940133,17584219
2021,Q1,West Bengal,Hooghly,1046242,19808381
2021,Q1,West Bengal,Kolkata,1823074,39347629
2021,Q1,West Bengal,Koch Bihar,345201,5796542
2021,Q1,West Bengal,Alipurduar,167837,3103865
2021,Q1,West Bengal,Paschim Bardhaman,738540,14154334
2021,Q1,West Bengal,Nadia,893107,16082294
2021,Q1,West Bengal,Birbhum,558494,8668586
2021,Q1,West Bengal,Purba Medinipur,884605,18408378
2021,Q1,West Bengal,Maldah,613320,12880352
2021,Q1,West Bengal,Darjiling,372025,6683418
2019,Q4,West Bengal,South Twenty Four Parganas,741375,13581616
2019,Q4,West Bengal,Purba Bardhaman,488492,12735066
2019,Q4,West Bengal,Uttar Dinajpur,215655,3217032
2019,Q4,West Bengal,Kalimpong,17771,221386
2019,Q4,West Bengal,Murshidabad,750671,13929731
2019,Q4,West Bengal,Paschim Medinipur,520047,14232700
2019,Q4,West Bengal,Dakshin Dinajpur,167751,2758745
2019,Q4,West Bengal,Jalpaiguri,138687,2180913
2019,Q4,West Bengal,Purulia,269243,9311848
2019,Q4,West Bengal,North Twenty Four Parganas,1638605,37515458
2019,Q4,West Bengal,Bankura,417129,17405204
2019,Q4,West Bengal,Jhargram,75434,2033647
2019,Q4,West Bengal,Howrah,597553,10870618
2019,Q4,West Bengal,Hooghly,694972,16121357
2019,Q4,West Bengal,Kolkata,1238698,23803601
2019,Q4,West Bengal,Koch Bihar,196016,3117183
2019,Q4,West Bengal,Alipurduar,96583,1467355
2019,Q4,West Bengal,Paschim Bardhaman,492425,11527025
2019,Q4,West Bengal,Nadia,571859,12713222
2019,Q4,West Bengal,Birbhum,380115,11005862
2019,Q4,West Bengal,Purba Medinipur,573088,14094860
2019,Q4,West Bengal,Maldah,383514,7234930
2019,Q4,West Bengal,Darjiling,219375,3247254
2019,Q1,West Bengal,South Twenty Four Parganas,487180,0
2019,Q1,West Bengal,Purba Bardhaman,340321,0
2019,Q1,West Bengal,Uttar Dinajpur,144521,0
2019,Q1,West Bengal,Kalimpong,10477,0
2019,Q1,West Bengal,Murshidabad,478812,0
2019,Q1,West Bengal,Paschim Medinipur,361979,0
2019,Q1,West Bengal,Dakshin Dinajpur,115269,0
2019,Q1,West Bengal,Jalpaiguri,92118,0
2019,Q1,West Bengal,Purulia,190392,0
2019,Q1,West Bengal,North Twenty Four Parganas,1130983,0
2019,Q1,West Bengal,Bankura,288329,0
2019,Q1,West Bengal,Jhargram,53153,0
2019,Q1,West Bengal,Howrah,410583,0
2019,Q1,West Bengal,Hooghly,480952,0
2019,Q1,West Bengal,Kolkata,868126,0
2019,Q1,West Bengal,Koch Bihar,131010,0
2019,Q1,West Bengal,Alipurduar,64136,0
2019,Q1,West Bengal,Paschim Bardhaman,349928,0
2019,Q1,West Bengal,Nadia,385179,0
2019,Q1,West Bengal,Birbhum,265201,0
2019,Q1,West Bengal,Purba Medinipur,389583,0
2019,Q1,West Bengal,Maldah,266012,0
2019,Q1,West Bengal,Darjiling,145181,0
2019,Q3,West Bengal,South Twenty Four Parganas,659919,11640483
2019,Q3,West Bengal,Purba Bardhaman,428350,7257620
2019,Q3,West Bengal,Uttar Dinajpur,189407,2523533
2019,Q3,West Bengal,Kalimpong,15312,183357
2019,Q3,West Bengal,Murshidabad,622422,9294082
2019,Q3,West Bengal,Paschim Medinipur,455417,8280953
2019,Q3,West Bengal,Dakshin Dinajpur,146051,1806053
2019,Q3,West Bengal,Jalpaiguri,122923,1806874
2019,Q3,West Bengal,Purulia,230836,3683732
2019,Q3,West Bengal,North Twenty Four Parganas,1478650,33572269
2019,Q3,West Bengal,Bankura,353058,6715391
2019,Q3,West Bengal,Jhargram,65500,1116758
2019,Q3,West Bengal,Howrah,540552,9743134
2019,Q3,West Bengal,Hooghly,624518,13191323
2019,Q3,West Bengal,Kolkata,1138965,22126534
2019,Q3,West Bengal,Koch Bihar,172002,2433275
2019,Q3,West Bengal,Alipurduar,85888,1176861
2019,Q3,West Bengal,Paschim Bardhaman,438438,7691224
2019,Q3,West Bengal,Nadia,502635,8909989
2019,Q3,West Bengal,Birbhum,331414,5342422
2019,Q3,West Bengal,Purba Medinipur,504142,9655511
2019,Q3,West Bengal,Maldah,340720,5661227
2019,Q3,West Bengal,Darjiling,196103,2746406
2019,Q2,West Bengal,South Twenty Four Parganas,579599,3430790
2019,Q2,West Bengal,Purba Bardhaman,387428,2138160
2019,Q2,West Bengal,Uttar Dinajpur,169472,792182
2019,Q2,West Bengal,Kalimpong,13066,57126
2019,Q2,West Bengal,Murshidabad,548604,2725852
2019,Q2,West Bengal,Paschim Medinipur,411877,2375069
2019,Q2,West Bengal,Dakshin Dinajpur,131963,505843
2019,Q2,West Bengal,Jalpaiguri,109309,533784
2019,Q2,West Bengal,Purulia,212137,946167
2019,Q2,West Bengal,North Twenty Four Parganas,1312362,9040481
2019,Q2,West Bengal,Bankura,323010,1640080
2019,Q2,West Bengal,Jhargram,59993,303906
2019,Q2,West Bengal,Howrah,480813,2790524
2019,Q2,West Bengal,Hooghly,557946,3729002
2019,Q2,West Bengal,Kolkata,1014406,6041911
2019,Q2,West Bengal,Koch Bihar,153650,755753
2019,Q2,West Bengal,Alipurduar,76597,365769
2019,Q2,West Bengal,Paschim Bardhaman,395259,2040604
2019,Q2,West Bengal,Nadia,447979,2537823
2019,Q2,West Bengal,Birbhum,300617,1478412
2019,Q2,West Bengal,Purba Medinipur,448850,2751511
2019,Q2,West Bengal,Maldah,305773,1715360
2019,Q2,West Bengal,Darjiling,172085,818092
2020,Q3,West Bengal,South Twenty Four Parganas,1023020,18223510
2020,Q3,West Bengal,Purba Bardhaman,639938,10641239
2020,Q3,West Bengal,Uttar Dinajpur,306778,5262403
2020,Q3,West Bengal,Kalimpong,28769,404822
2020,Q3,West Bengal,Murshidabad,1005986,14032076
2020,Q3,West Bengal,Paschim Medinipur,689466,13083495
2020,Q3,West Bengal,Dakshin Dinajpur,226578,2694137
2020,Q3,West Bengal,Jalpaiguri,201715,3494600
2020,Q3,West Bengal,Purulia,349322,5186788
2020,Q3,West Bengal,North Twenty Four Parganas,2143943,39918904
2020,Q3,West Bengal,Bankura,528677,8006307
2020,Q3,West Bengal,Jhargram,99907,1688252
2020,Q3,West Bengal,Howrah,804627,13539941
2020,Q3,West Bengal,Hooghly,906517,17245617
2020,Q3,West Bengal,Kolkata,1573291,25089057
2020,Q3,West Bengal,Koch Bihar,287891,4731944
2020,Q3,West Bengal,Alipurduar,140255,2404447
2020,Q3,West Bengal,Paschim Bardhaman,637247,10779487
2020,Q3,West Bengal,Nadia,768633,13198488
2020,Q3,West Bengal,Birbhum,488395,7070042
2020,Q3,West Bengal,Purba Medinipur,760873,15424927
2020,Q3,West Bengal,Maldah,525231,9812697
2020,Q3,West Bengal,Darjiling,311307,4621651
2020,Q2,West Bengal,South Twenty Four Parganas,919118,14552292
2020,Q2,West Bengal,Purba Bardhaman,589508,9061515
2020,Q2,West Bengal,Uttar Dinajpur,276019,4454640
2020,Q2,West Bengal,Kalimpong,24777,339893
2020,Q2,West Bengal,Murshidabad,922312,11958874
2020,Q2,West Bengal,Paschim Medinipur,631931,11093732
2020,Q2,West Bengal,Dakshin Dinajpur,206420,2259428
2020,Q2,West Bengal,Jalpaiguri,179668,2859021
2020,Q2,West Bengal,Purulia,323086,4506366
2020,Q2,West Bengal,North Twenty Four Parganas,1966125,30663226
