year,quarter,state,district,registeredusers
2020,Q4,Uttarakhand,Chamoli,58039
2020,Q4,Uttarakhand,Uttarkashi,46810
2020,Q3,Uttarakhand,Dehradun,711303
2020,Q3,Uttarakhand,Haridwar,491252
2020,Q3,Uttarakhand,Udham Singh Nagar,418390
2020,Q3,Uttarakhand,Nainital,227497
2020,Q3,Uttarakhand,Pauri Garhwal,112287
2020,Q3,Uttarakhand,Tehri Garhwal,85276
2020,Q3,Uttarakhand,Almora,72829
2020,Q3,Uttarakhand,Pithoragarh,60279
2020,Q3,Uttarakhand,Chamoli,52184
2020,Q3,Uttarakhand,Uttarkashi,42144
2020,Q1,Uttarakhand,Dehradun,593420
2020,Q1,Uttarakhand,Haridwar,408768
2020,Q1,Uttarakhand,Udham Singh Nagar,351112
2020,Q1,Uttarakhand,Nainital,186948
2020,Q1,Uttarakhand,Pauri Garhwal,90270
2020,Q1,Uttarakhand,Tehri Garhwal,66293
2020,Q1,Uttarakhand,Almora,55964
2020,Q1,Uttarakhand,Pithoragarh,46554
2020,Q1,Uttarakhand,Chamoli,40668
2020,Q1,Uttarakhand,Uttarkashi,32713
2020,Q2,Uttarakhand,Dehradun,649026
2020,Q2,Uttarakhand,Haridwar,448939
2020,Q2,Uttarakhand,Udham Singh Nagar,383547
2020,Q2,Uttarakhand,Nainital,206076
2020,Q2,Uttarakhand,Pauri Garhwal,101276
2020,Q2,Uttarakhand,Tehri Garhwal,75996
2020,Q2,Uttarakhand,Almora,64523
2020,Q2,Uttarakhand,Pithoragarh,53375
2020,Q2,Uttarakhand,Chamoli,46467
2020,Q2,Uttarakhand,Uttarkashi,37671
2019,Q2,Uttarakhand,Dehradun,428353
2019,Q2,Uttarakhand,Haridwar,299436
2019,Q2,Uttarakhand,Udham Singh Nagar,266958
2019,Q2,Uttarakhand,Nainital,137114
2019,Q2,Uttarakhand,Pauri Garhwal,65607
2019,Q2,Uttarakhand,Tehri Garhwal,45652
2019,Q2,Uttarakhand,Almora,39593
2019,Q2,Uttarakhand,Pithoragarh,32308
2019,Q2,Uttarakhand,Chamoli,28063
2019,Q2,Uttarakhand,Uttarkashi,21969
2019,Q3,Uttarakhand,Dehradun,486157
2019,Q3,Uttarakhand,Haridwar,334619
2019,Q3,Uttarakhand,Udham Singh Nagar,292858
2019,Q3,Uttarakhand,Nainital,153561
2019,Q3,Uttarakhand,Pauri Garhwal,73363
2019,Q3,Uttarakhand,Tehri Garhwal,52090
2019,Q3,Uttarakhand,Almora,44182
2019,Q3,Uttarakhand,Pithoragarh,36353
2019,Q3,Uttarakhand,Chamoli,32036
