year,quarter,state,district,count,amount
2021,Q1,Uttar Pradesh,Ayodhya,211,175689.0
2021,Q1,Uttar Pradesh,Deoria,279,202296.0
2021,Q1,Uttar Pradesh,Ghaziabad,2252,1736688.0
2020,Q2,Uttarakhand,Bageshwar,6,1448.0
2020,Q2,Uttarakhand,Udham Singh Nagar,68,15728.0
2020,Q2,Uttarakhand,Haridwar,110,21708.0
2020,Q2,Uttarakhand,Champawat,5,1129.0
2020,Q2,Uttarakhand,Nainital,63,13166.0
2020,Q2,Uttarakhand,Dehradun,313,59251.0
2020,Q2,Uttarakhand,Chamoli,9,1905.0
2020,Q2,Uttarakhand,Almora,20,4261.0
2020,Q2,Uttarakhand,Uttarkashi,20,3974.0
2020,Q2,Uttarakhand,Pithoragarh,17,5076.0
2020,Q2,Uttarakhand,Rudraprayag,6,1453.0
2020,Q2,Uttarakhand,Pauri Garhwal,10,2187.0
2020,Q2,Uttarakhand,Tehri Garhwal,13,3613.0
2020,Q4,Uttarakhand,Bageshwar,26,26551.0
2020,Q4,Uttarakhand,Udham Singh Nagar,294,261230.0
2020,Q4,Uttarakhand,Haridwar,337,341470.0
2020,Q4,Uttarakhand,Champawat,28,73616.0
2020,Q4,Uttarakhand,Nainital,169,206547.0
2020,Q4,Uttarakhand,Dehradun,577,620548.0
2020,Q4,Uttarakhand,Chamoli,35,56928.0
2020,Q4,Uttarakhand,Almora,46,65453.0
2020,Q4,Uttarakhand,Uttarkashi,44,44541.0
2020,Q4,Uttarakhand,Pithoragarh,42,60841.0
2020,Q4,Uttarakhand,Rudraprayag,17,18605.0
2020,Q4,Uttarakhand,Pauri Garhwal,79,95558.0
2020,Q4,Uttarakhand,Tehri Garhwal,62,90003.0
2020,Q3,Uttarakhand,Bageshwar,10,3935.0
2020,Q3,Uttarakhand,Udham Singh Nagar,294,70995.0
2020,Q3,Uttarakhand,Haridwar,305,79746.0
2020,Q3,Uttarakhand,Champawat,9,4259.0
2020,Q3,Uttarakhand,Nainital,102,28588.0
2020,Q3,Uttarakhand,Dehradun,482,166568.0
2020,Q3,Uttarakhand,Chamoli,16,5235.0
2020,Q3,Uttarakhand,Almora,36,15207.0
2020,Q3,Uttarakhand,Uttarkashi,25,4041.0
2020,Q3,Uttarakhand,Pithoragarh,32,12065.0
2020,Q3,Uttarakhand,Rudraprayag,11,3569.0
2020,Q3,Uttarakhand,Pauri Garhwal,43,11588.0
2020,Q3,Uttarakhand,Tehri Garhwal,38,12747.0
2023,Q4,Tamil Nadu,Tiruchirappalli,2475,3470880.0
2023,Q4,Tamil Nadu,Ramanathapuram,517,640062.0
2023,Q4,Tamil Nadu,Krishnagiri,3172,4852330.0
2023,Q4,Tamil Nadu,Cuddalore,1551,2329665.0
2023,Q4,Tamil Nadu,Kancheepuram,6875,8403688.0
2023,Q4,Tamil Nadu,Tiruppur,5883,8071753.0
2023,Q4,Tamil Nadu,Dharmapuri,873,1263490.0
2023,Q4,Tamil Nadu,Thoothukkudi,907,1457770.0
